work_ref,is_open,days_open,p_complete_horizon,hazard,hazard_pct,rs_exposure
MP3018947-W89546,False,793.0,,1.1867798866367725,0.600410345685153,0.0
MP3018947-W89547,False,793.0,,1.186810984686821,0.6004533889388404,0.0
MP3018947-W89548,False,793.0,,1.1868443685523342,0.6004629541063264,0.0
MP3018947-W89549,False,786.0,,1.093367807992305,0.5542010215598875,0.0
MP3018947-W89550,False,786.0,,1.0931019984852002,0.5540862395500545,0.0
MP3018947-W89551,False,793.0,,1.1852562926430228,0.5981075316128786,0.0
MP3018947-W89552,False,793.0,,1.1852711546020047,0.598444703766763,0.0
MP3018947-W89553,False,793.0,,1.1850672562632536,0.5968234078778719,0.0
MP3018947-W89554,False,793.0,,0.9821465682715462,0.4680475580127408,0.0
MP3018947-W89555,False,793.0,,0.778551955558366,0.31181967746255235,0.0
MP3018947-W89556,False,793.0,,1.1852838656302547,0.5985451380253668,0.0
MP3018947-W89557,False,793.0,,1.1853474680519287,0.5988655711361506,0.0
MP3017485-W89558,False,358.0,,0.7959501050099476,0.324617871558931,0.0
MP3017470-W89562,False,530.0,,1.5280003425176392,0.7416878694545942,0.0
MP3017470-W89563,False,263.0,,1.8639000658567701,0.8230204885887552,0.0
MP3017470-W89564,False,263.0,,1.867274308127272,0.8257800394084901,0.0
MP3017470-W89565,False,263.0,,1.8658532526964535,0.8243739597880358,0.0
MP3018954-W89566,True,851.0,0.2078202276922585,0.35528988554586605,0.0681733399651828,396089.8861538707
MP3018954-W89567,True,851.0,0.2078202276922585,0.35528988554586605,0.0681733399651828,396089.8861538707
MP3018954-W89568,True,851.0,0.19778610880140945,0.33609400741884304,0.05361993763510799,401106.94559929526
MP3018954-W89569,True,851.0,0.3257134123396851,0.6010285002248017,0.19112878541503261,337143.29383015743
MP3018954-W89570,True,851.0,0.26978119579909654,0.4794975403098143,0.11444483767910776,365109.40210045176
MP3018954-W89571,True,851.0,0.20622214368553948,0.3522164313912027,0.06637508847779924,396888.92815723026
MP3018954-W89572,True,851.0,0.2302550466014286,0.39910368390390033,0.08002936506418228,384872.4766992857
MP3018954-W89573,True,851.0,0.26693242741049905,0.4735594482225976,0.1102146423583877,366533.78629475046
MP3018954-W89574,True,851.0,0.19778610880140945,0.33609400741884304,0.05361993763510799,401106.94559929526
MP3018417-W89575,False,496.0,,0.9930475700180865,0.47366709391081435,0.0
MP3018417-W89576,False,496.0,,0.9930475700180865,0.47366709391081435,0.0
MP3018417-W89577,False,496.0,,0.9930475700180865,0.47366709391081435,0.0
MP3018417-W89578,False,496.0,,0.9930475700180865,0.47366709391081435,0.0
MP3019228-W89581,True,851.0,0.7671791042711013,2.222761708523949,0.8991113959405429,41442.119439743976
MP3019228-W89582,True,851.0,0.7671791042711013,2.222761708523949,0.8991113959405429,41442.119439743976
MP3019228-W89583,True,851.0,0.7671791042711013,2.222761708523949,0.8991113959405429,41442.119439743976
MP3019228-W89586,True,851.0,0.7671791042711013,2.222761708523949,0.8991113959405429,41442.119439743976
MP3019228-W89587,False,774.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89588,False,771.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89589,False,774.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89592,False,771.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89593,False,774.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89595,False,774.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89597,False,774.0,,2.222766890537902,0.8994557419700419,0.0
MP3017380-W89598,False,589.0,,0.6019841145052846,0.1914157404396151,0.0
MP3017380-W89599,False,589.0,,0.602267015664492,0.19164052187553804,0.0
MP3017380-W89600,True,851.0,0.32613579153844885,0.6019841145052846,0.1914157404396151,606477.7876153961
MP3017380-W89601,False,589.0,,0.601933949766803,0.19138943622902838,0.0
MP3017380-W89602,True,851.0,0.26693242741049905,0.4735594482225976,0.1102146423583877,366533.78629475046
MP3019010-W89603,False,538.0,,1.3911915922173794,0.6975494040900656,0.0
MP3019010-W89604,False,727.0,,0.596494350550483,0.18964857574656133,0.0
MP3019010-W89605,False,538.0,,0.8528632364622841,0.3937596847320797,0.0
MP3019010-W89607,False,651.0,,1.0535311647960857,0.5206272836837373,0.0
MP3017424-W89608,False,727.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89609,False,727.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89610,False,727.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89612,False,727.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89613,False,727.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89614,False,727.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89615,False,727.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017192-W89616,True,851.0,0.5129633912748877,1.0971566915030184,0.5566760086469114,243518.30436255617
MP3017192-W89617,False,777.0,,1.3274596037969022,0.6546496279149848,0.0
MP3019228-W89618,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89619,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89620,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89621,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89622,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89623,False,774.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89624,False,774.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89625,False,774.0,,2.222766890537902,0.8994557419700419,0.0
MP3017192-W89626,True,851.0,0.5807974336951756,1.3258937369596964,0.649984217473648,209601.28315241222
MP3017192-W89627,True,851.0,0.5129633912748877,1.0971566915030184,0.5566760086469114,243518.30436255617
MP3017192-W89628,True,851.0,0.4883330132270889,1.0219180222534643,0.49776175080825663,1739667.755027898
MP3017192-W89629,True,851.0,0.4893644311744235,1.0249953514157417,0.4987087023893788,817016.9101209224
MP3017192-W89632,False,640.0,,0.7353018567333913,0.2830093929944713,0.0
MP3018417-W89633,False,496.0,,0.9930475700180865,0.47366709391081435,0.0
MP3017192-W89634,False,634.0,,1.0897466435166094,0.5506475618388078,0.0
MP3019239-W89636,False,538.0,,1.4564938167864399,0.7194392898819658,0.0
MP3019239-W89637,False,742.0,,0.8101955831538049,0.34702905897882275,0.0
MP3019239-W89638,True,851.0,0.34492364657334973,0.6451081254092292,0.21221041455435885,327538.17671332514
MP3019239-W89639,True,851.0,0.34733717108884554,0.6507373637738751,0.21490779178543418,326331.4144555772
MP3019239-W89640,True,851.0,0.34472215927582506,0.6446391203369887,0.2121362845063417,393166.70443450497
MP3019239-W89641,True,851.0,0.4799434162478191,0.9971149267099936,0.4778590285615901,80608.77048158804
MP3019239-W89642,True,851.0,0.16617169427092038,0.2771467946604696,0.03035984160082643,416080.32455881074
MP3017424-W89643,False,727.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89645,False,727.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89646,False,727.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89647,False,727.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89648,False,727.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89649,False,727.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89650,False,730.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89651,False,730.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89652,False,730.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89653,False,730.0,,0.8854185335364294,0.41280154190499874,0.0
MP3019090-W89654,True,851.0,0.41462051966839686,0.8166650267897971,0.3590716048438008,145859.00511422555
MP3017424-W89655,False,730.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89656,False,730.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89657,False,730.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89658,False,730.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017380-W89659,True,851.0,0.2635709933032545,0.46658234179263,0.107474221873625,1104643.5100451182
MP3017380-W89660,True,851.0,0.2635709933032545,0.46658234179263,0.107474221873625,1104643.5100451182
MP3018954-W89661,True,851.0,0.19778610880140945,0.33609400741884304,0.05361993763510799,401106.94559929526
MP3018954-W89663,True,851.0,0.2078202276922585,0.35528988554586605,0.0681733399651828,396089.8861538707
MP3018954-W89664,True,851.0,0.2302550466014286,0.39910368390390033,0.08002936506418228,384872.4766992857
MP3017424-W89666,False,730.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89667,False,730.0,,0.8854185335364294,0.41280154190499874,0.0
MP3018403-W89668,True,851.0,0.6433804599789095,1.5724736223099234,0.7474484915730875,106985.86200632717
MP3017424-W89669,False,730.0,,0.8854185335364294,0.41280154190499874,0.0
MP3017424-W89670,False,730.0,,0.8854185335364294,0.41280154190499874,0.0
MP3018374-W89671,False,122.0,,0.8096982760495212,0.34634754079543933,0.0
MP3018374-W89672,False,554.0,,0.8096982760495212,0.34634754079543933,0.0
MP3018374-W89673,False,122.0,,0.8096982760495212,0.34634754079543933,0.0
MP3018374-W89674,False,122.0,,0.8096986315944177,0.346483844432116,0.0
MP3018374-W89675,False,122.0,,0.8096982760495212,0.34634754079543933,0.0
MP3018374-W89676,False,554.0,,0.8096986315944177,0.346483844432116,0.0
MP3018374-W89677,False,554.0,,0.8096986315944177,0.346483844432116,0.0
MP3018374-W89678,False,554.0,,0.8096982760495212,0.34634754079543933,0.0
MP3018374-W89679,False,554.0,,0.4072338881073841,0.0824039178926023,0.0
MP3018374-W89680,False,122.0,,0.8083899766200183,0.3425549518872075,0.0
MP3018374-W89681,False,554.0,,0.5365965759535024,0.16123046314540967,0.0
MP3018374-W89682,False,122.0,,0.6032568458103938,0.1921116063742276,0.0
MP3018374-W89683,False,554.0,,0.40723554238989,0.08241826564383142,0.0
MP3018954-W89684,True,851.0,0.26978119579909654,0.4794975403098143,0.11444483767910776,365109.40210045176
MP3017383-W89685,False,74.0,,4.238880413806298,0.9973839266925564,0.0
MP3017383-W89686,False,71.0,,4.238880413806298,0.9973839266925564,0.0
MP3017383-W89687,False,248.0,,1.8984439398799284,0.8365456354140761,0.0
MP3019529-W89689,False,797.0,,0.8350334955770115,0.37725020565110096,0.0
MP3017472-W89691,False,157.0,,2.320208218444253,0.9387040154573106,0.0
MP3017472-W89692,False,157.0,,2.320208218444253,0.9387040154573106,0.0
MP3019529-W89693,False,797.0,,0.6776748678275831,0.23411225680561668,0.0
MP3018414-W89694,False,610.0,,0.8610286206812591,0.3996159585254338,0.0
MP3018414-W89695,False,610.0,,0.8610286206812591,0.3996159585254338,0.0
MP3018963-W89696,False,539.0,,2.883741047966329,0.9667562604021196,0.0
MP3018963-W89697,False,539.0,,2.88585146148941,0.9674593002123467,0.0
MP3018963-W89699,False,538.0,,2.885817793430973,0.9673110401163124,0.0
MP3018963-W89700,False,538.0,,2.893863343781031,0.9717492778298548,0.0
MP3019228-W89701,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89702,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89703,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89704,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89705,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89706,False,771.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89707,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89708,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89709,False,773.0,,2.222766890537902,0.8994557419700419,0.0
MP3019228-W89710,False,773.0,,2.222766890537902,0.8994557419700419,0.0
